q1,q2,q3,q4,q5,q6,
-0.11286197761636282,-0.16371918908577854,-0.29225399184564116,-0.2519334511586172,0.46877860965464074,-1.3450755067670195,
-0.11791554542041449,-0.16506255154375957,-0.2907584249230312,-0.26288844531109334,0.46978655935744823,-1.335287279515959,
-0.12296047211904813,-0.16644602123792807,-0.2892169304324411,-0.2737835128689313,0.4708352321513083,-1.3255561099447937,
-0.1279965237271138,-0.16786945028241546,-0.28762956136969214,-0.2846170236801728,0.47192396766446126,-1.3158835352718377,
-0.13302346888253314,-0.16933268765888115,-0.28599637166269887,-0.29538742858347544,0.4730520920307469,-1.3062710111890665,
-0.13804107889999487,-0.1708355793242863,-0.28431741611528266,-0.30609325970397816,0.4742189188709406,-1.296719911558449,
-0.1430491278227733,-0.17237796832034608,-0.28259275034978154,-0.3167331305420785,0.47542375027003037,-1.2872315283161997,
-0.14804739247265084,-0.17395969488454976,-0.2808224307484977,-0.32730573586293793,0.47666587774791275,-1.2778070715771441,
-0.15303565249792728,-0.17558059656264555,-0.27900651439401286,-0.33780985139514497,0.4779445832211239,-1.2684476699307512,
-0.1580136904195004,-0.17724050832249122,-0.27714505900839254,-0.3482443333475267,0.4792591399533544,-1.259154370919847,
